Log:
DateTime: 21.03 12.10.2025.

Model: ResNet101
Loss function: CrossEntropyLoss
Optimizer: SGD

HyperParameters:
- Number of epochs: 3
- Batch size: 128
- Learning rate: 0.001


ConsoleLog:
Streaming output truncated to the last 5000 lines.
Training:  29% 369/1293 [01:16<03:07,  4.92batch/s, Train loss=1.1448, Train accuracy=0.4387]
Training:  56% 724/1293 [02:29<01:55,  4.93batch/s, Train loss=1.1367, Train accuracy=0.4444]
Training:  56% 724/1293 [02:29<01:55,  4.93batch/s, Train loss=1.1367, Train accuracy=0.4445]
Training:  56% 725/1293 [02:29<01:58,  4.78batch/s, Train loss=1.1367, Train accuracy=0.4445]
Training:  56% 725/1293 [02:29<01:58,  4.78batch/s, Train loss=1.1366, Train accuracy=0.4445]
Training:  56% 726/1293 [02:29<01:59,  4.73batch/s, Train loss=1.1366, Train accuracy=0.4445]
Training:  56% 726/1293 [02:30<01:59,  4.73batch/s, Train loss=1.1367, Train accuracy=0.4445]
Training:  56% 727/1293 [02:30<01:59,  4.72batch/s, Train loss=1.1367, Train accuracy=0.4445]
Training:  56% 727/1293 [02:30<01:59,  4.72batch/s, Train loss=1.1366, Train accuracy=0.4445]
Training:  56% 728/1293 [02:30<01:59,  4.74batch/s, Train loss=1.1366, Train accuracy=0.4445]
Training:  56% 728/1293 [02:30<01:59,  4.74batch/s, Train loss=1.1365, Train accuracy=0.4446]
Training:  56% 729/1293 [02:30<01:59,  4.73batch/s, Train loss=1.1365, Train accuracy=0.4446]
Training:  56% 729/1293 [02:30<01:59,  4.73batch/s, Train loss=1.1367, Train accuracy=0.4446]
Training:  56% 730/1293 [02:30<01:59,  4.69batch/s, Train loss=1.1367, Train accuracy=0.4446]
Training:  56% 730/1293 [02:30<01:59,  4.69batch/s, Train loss=1.1366, Train accuracy=0.4446]
Training:  57% 731/1293 [02:30<02:00,  4.65batch/s, Train loss=1.1366, Train accuracy=0.4446]
Training:  57% 731/1293 [02:31<02:00,  4.65batch/s, Train loss=1.1369, Train accuracy=0.4445]
Training:  57% 732/1293 [02:31<01:59,  4.69batch/s, Train loss=1.1369, Train accuracy=0.4445]
Training:  57% 732/1293 [02:31<01:59,  4.69batch/s, Train loss=1.1370, Train accuracy=0.4445]
Training:  57% 733/1293 [02:31<01:59,  4.70batch/s, Train loss=1.1370, Train accuracy=0.4445]
Training:  57% 733/1293 [02:31<01:59,  4.70batch/s, Train loss=1.1371, Train accuracy=0.4444]
Training:  57% 734/1293 [02:31<02:00,  4.65batch/s, Train loss=1.1371, Train accuracy=0.4444]
Training:  57% 734/1293 [02:31<02:00,  4.65batch/s, Train loss=1.1371, Train accuracy=0.4445]
Training:  57% 735/1293 [02:31<02:00,  4.63batch/s, Train loss=1.1371, Train accuracy=0.4445]
Training:  57% 735/1293 [02:31<02:00,  4.63batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  57% 736/1293 [02:31<01:59,  4.68batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  57% 736/1293 [02:32<01:59,  4.68batch/s, Train loss=1.1370, Train accuracy=0.4446]
Training:  57% 737/1293 [02:32<01:57,  4.74batch/s, Train loss=1.1370, Train accuracy=0.4446]
Training:  57% 737/1293 [02:32<01:57,  4.74batch/s, Train loss=1.1372, Train accuracy=0.4445]
Training:  57% 738/1293 [02:32<01:58,  4.68batch/s, Train loss=1.1372, Train accuracy=0.4445]
Training:  57% 738/1293 [02:32<01:58,  4.68batch/s, Train loss=1.1370, Train accuracy=0.4446]
Training:  57% 739/1293 [02:32<01:59,  4.65batch/s, Train loss=1.1370, Train accuracy=0.4446]
Training:  57% 739/1293 [02:32<01:59,  4.65batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  57% 740/1293 [02:32<02:00,  4.58batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  57% 740/1293 [02:33<02:00,  4.58batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  57% 741/1293 [02:33<02:04,  4.44batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  57% 741/1293 [02:33<02:04,  4.44batch/s, Train loss=1.1367, Train accuracy=0.4447]
Training:  57% 742/1293 [02:33<02:01,  4.54batch/s, Train loss=1.1367, Train accuracy=0.4447]
Training:  57% 742/1293 [02:33<02:01,  4.54batch/s, Train loss=1.1369, Train accuracy=0.4445]
Training:  57% 743/1293 [02:33<01:58,  4.65batch/s, Train loss=1.1369, Train accuracy=0.4445]
Training:  57% 743/1293 [02:33<01:58,  4.65batch/s, Train loss=1.1368, Train accuracy=0.4445]
Training:  58% 744/1293 [02:33<01:56,  4.73batch/s, Train loss=1.1368, Train accuracy=0.4445]
Training:  58% 744/1293 [02:33<01:56,  4.73batch/s, Train loss=1.1369, Train accuracy=0.4445]
Training:  58% 745/1293 [02:33<01:54,  4.79batch/s, Train loss=1.1369, Train accuracy=0.4445]
Training:  58% 745/1293 [02:34<01:54,  4.79batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 746/1293 [02:34<01:53,  4.83batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 746/1293 [02:34<01:53,  4.83batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 747/1293 [02:34<01:51,  4.88batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 747/1293 [02:34<01:51,  4.88batch/s, Train loss=1.1368, Train accuracy=0.4447]
Training:  58% 748/1293 [02:34<01:50,  4.92batch/s, Train loss=1.1368, Train accuracy=0.4447]
Training:  58% 748/1293 [02:34<01:50,  4.92batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 749/1293 [02:34<01:50,  4.94batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 749/1293 [02:34<01:50,  4.94batch/s, Train loss=1.1368, Train accuracy=0.4446]
Training:  58% 750/1293 [02:34<01:50,  4.92batch/s, Train loss=1.1368, Train accuracy=0.4446]
Training:  58% 750/1293 [02:35<01:50,  4.92batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 751/1293 [02:35<01:50,  4.91batch/s, Train loss=1.1369, Train accuracy=0.4446]
Training:  58% 751/1293 [02:35<01:50,  4.91batch/s, Train loss=1.1371, Train accuracy=0.4445]
Training:  58% 752/1293 [02:35<01:49,  4.94batch/s, Train loss=1.1371, Train accuracy=0.4445]
Training:  58% 752/1293 [02:35<01:49,  4.94batch/s, Train loss=1.1372, Train accuracy=0.4446]
Training:  58% 753/1293 [02:35<01:49,  4.92batch/s, Train loss=1.1372, Train accuracy=0.4446]
Training:  58% 753/1293 [02:35<01:49,  4.92batch/s, Train loss=1.1370, Train accuracy=0.4446]
Training:  58% 754/1293 [02:35<01:49,  4.93batch/s, Train loss=1.1370, Train accuracy=0.4446]
Training:  58% 754/1293 [02:35<01:49,  4.93batch/s, Train loss=1.1370, Train accuracy=0.4445]
Training:  58% 755/1293 [02:35<01:50,  4.87batch/s, Train loss=1.1370, Train accuracy=0.4445]
Training:  58% 755/1293 [02:36<01:50,  4.87batch/s, Train loss=1.1370, Train accuracy=0.4445]
Training:  58% 756/1293 [02:36<01:49,  4.90batch/s, Train loss=1.1370, Train accuracy=0.4445]
Training:  58% 756/1293 [02:36<01:49,  4.90batch/s, Train loss=1.1371, Train accuracy=0.4444]
Training:  59% 757/1293 [02:36<01:49,  4.92batch/s, Train loss=1.1371, Train accuracy=0.4444]
Training:  59% 757/1293 [02:36<01:49,  4.92batch/s, Train loss=1.1371, Train accuracy=0.4444]
Training:  59% 758/1293 [02:36<01:48,  4.92batch/s, Train loss=1.1371, Train accuracy=0.4444]
Training:  59% 758/1293 [02:36<01:48,  4.92batch/s, Train loss=1.1370, Train accuracy=0.4443]
Training:  59% 759/1293 [02:36<01:48,  4.94batch/s, Train loss=1.1370, Train accuracy=0.4443]
Training:  59% 759/1293 [02:36<01:48,  4.94batch/s, Train loss=1.1370, Train accuracy=0.4443]
Training:  59% 760/1293 [02:36<01:49,  4.86batch/s, Train loss=1.1370, Train accuracy=0.4443]
Training:  59% 760/1293 [02:37<01:49,  4.86batch/s, Train loss=1.1370, Train accuracy=0.4442]
Training:  59% 761/1293 [02:37<01:48,  4.90batch/s, Train loss=1.1370, Train accuracy=0.4442]
Training:  59% 761/1293 [02:37<01:48,  4.90batch/s, Train loss=1.1368, Train accuracy=0.4443]
Training:  59% 762/1293 [02:37<01:48,  4.88batch/s, Train loss=1.1368, Train accuracy=0.4443]
Training:  59% 762/1293 [02:37<01:48,  4.88batch/s, Train loss=1.1371, Train accuracy=0.4443]
Training:  59% 763/1293 [02:37<01:48,  4.90batch/s, Train loss=1.1371, Train accuracy=0.4443]
Training:  59% 763/1293 [02:37<01:48,  4.90batch/s, Train loss=1.1369, Train accuracy=0.4444]
Training:  59% 764/1293 [02:37<01:48,  4.86batch/s, Train loss=1.1369, Train accuracy=0.4444]
Training:  59% 764/1293 [02:37<01:48,  4.86batch/s, Train loss=1.1367, Train accuracy=0.4444]
Training:  59% 765/1293 [02:37<01:48,  4.89batch/s, Train loss=1.1367, Train accuracy=0.4444]
Training:  59% 765/1293 [02:38<01:48,  4.89batch/s, Train loss=1.1366, Train accuracy=0.4444]
Training:  59% 766/1293 [02:38<01:47,  4.88batch/s, Train loss=1.1366, Train accuracy=0.4444]
Training:  59% 766/1293 [02:38<01:47,  4.88batch/s, Train loss=1.1364, Train accuracy=0.4445]
Training:  59% 767/1293 [02:38<01:47,  4.90batch/s, Train loss=1.1364, Train accuracy=0.4445]
Training:  59% 767/1293 [02:38<01:47,  4.90batch/s, Train loss=1.1362, Train accuracy=0.4446]
Training:  59% 768/1293 [02:38<01:46,  4.92batch/s, Train loss=1.1362, Train accuracy=0.4446]
Training:  59% 768/1293 [02:38<01:46,  4.92batch/s, Train loss=1.1362, Train accuracy=0.4446]
Training:  59% 769/1293 [02:38<01:46,  4.93batch/s, Train loss=1.1362, Train accuracy=0.4446]
Training:  59% 769/1293 [02:38<01:46,  4.93batch/s, Train loss=1.1361, Train accuracy=0.4446]
Training:  60% 770/1293 [02:38<01:46,  4.92batch/s, Train loss=1.1361, Train accuracy=0.4446]
Training:  60% 770/1293 [02:39<01:46,  4.92batch/s, Train loss=1.1360, Train accuracy=0.4445]
Training:  60% 771/1293 [02:39<01:45,  4.93batch/s, Train loss=1.1360, Train accuracy=0.4445]
Training:  60% 771/1293 [02:39<01:45,  4.93batch/s, Train loss=1.1359, Train accuracy=0.4446]
Training:  60% 772/1293 [02:39<01:45,  4.94batch/s, Train loss=1.1359, Train accuracy=0.4446]
Training:  60% 772/1293 [02:39<01:45,  4.94batch/s, Train loss=1.1358, Train accuracy=0.4446]
Training:  60% 773/1293 [02:39<01:44,  4.97batch/s, Train loss=1.1358, Train accuracy=0.4446]
Training:  60% 773/1293 [02:39<01:44,  4.97batch/s, Train loss=1.1359, Train accuracy=0.4446]
Training:  60% 774/1293 [02:39<01:44,  4.99batch/s, Train loss=1.1359, Train accuracy=0.4446]
Training:  60% 774/1293 [02:39<01:44,  4.99batch/s, Train loss=1.1356, Train accuracy=0.4448]
Training:  60% 775/1293 [02:39<01:43,  5.00batch/s, Train loss=1.1356, Train accuracy=0.4448]
Training:  60% 775/1293 [02:40<01:43,  5.00batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  60% 776/1293 [02:40<01:44,  4.97batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  60% 776/1293 [02:40<01:44,  4.97batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  60% 777/1293 [02:40<01:43,  4.97batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  60% 777/1293 [02:40<01:43,  4.97batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  60% 778/1293 [02:40<01:43,  4.96batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  60% 778/1293 [02:40<01:43,  4.96batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  60% 779/1293 [02:40<01:43,  4.96batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  60% 779/1293 [02:41<01:43,  4.96batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  60% 780/1293 [02:41<01:43,  4.94batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  60% 780/1293 [02:41<01:43,  4.94batch/s, Train loss=1.1356, Train accuracy=0.4448]
Training:  60% 781/1293 [02:41<01:43,  4.94batch/s, Train loss=1.1356, Train accuracy=0.4448]
Training:  60% 781/1293 [02:41<01:43,  4.94batch/s, Train loss=1.1356, Train accuracy=0.4449]
Training:  60% 782/1293 [02:41<01:43,  4.93batch/s, Train loss=1.1356, Train accuracy=0.4449]
Training:  60% 782/1293 [02:41<01:43,  4.93batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  61% 783/1293 [02:41<01:43,  4.94batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  61% 783/1293 [02:41<01:43,  4.94batch/s, Train loss=1.1354, Train accuracy=0.4448]
Training:  61% 784/1293 [02:41<01:43,  4.93batch/s, Train loss=1.1354, Train accuracy=0.4448]
Training:  61% 784/1293 [02:42<01:43,  4.93batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  61% 785/1293 [02:42<01:42,  4.93batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  61% 785/1293 [02:42<01:42,  4.93batch/s, Train loss=1.1354, Train accuracy=0.4448]
Training:  61% 786/1293 [02:42<01:42,  4.94batch/s, Train loss=1.1354, Train accuracy=0.4448]
Training:  61% 786/1293 [02:42<01:42,  4.94batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  61% 787/1293 [02:42<01:43,  4.89batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  61% 787/1293 [02:42<01:43,  4.89batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  61% 788/1293 [02:42<01:42,  4.93batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  61% 788/1293 [02:42<01:42,  4.93batch/s, Train loss=1.1356, Train accuracy=0.4447]
Training:  61% 789/1293 [02:42<01:41,  4.94batch/s, Train loss=1.1356, Train accuracy=0.4447]
Training:  61% 789/1293 [02:43<01:41,  4.94batch/s, Train loss=1.1355, Train accuracy=0.4449]
Training:  61% 790/1293 [02:43<01:41,  4.94batch/s, Train loss=1.1355, Train accuracy=0.4449]
Training:  61% 790/1293 [02:43<01:41,  4.94batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  61% 791/1293 [02:43<01:45,  4.78batch/s, Train loss=1.1355, Train accuracy=0.4448]
Training:  61% 791/1293 [02:43<01:45,  4.78batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  61% 792/1293 [02:43<01:45,  4.75batch/s, Train loss=1.1357, Train accuracy=0.4447]
Training:  61% 792/1293 [02:43<01:45,  4.75batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  61% 793/1293 [02:43<01:45,  4.74batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  61% 793/1293 [02:43<01:45,  4.74batch/s, Train loss=1.1355, Train accuracy=0.4446]
Training:  61% 794/1293 [02:43<01:44,  4.76batch/s, Train loss=1.1355, Train accuracy=0.4446]
Training:  61% 794/1293 [02:44<01:44,  4.76batch/s, Train loss=1.1356, Train accuracy=0.4446]
Training:  61% 795/1293 [02:44<01:46,  4.69batch/s, Train loss=1.1356, Train accuracy=0.4446]
Training:  61% 795/1293 [02:44<01:46,  4.69batch/s, Train loss=1.1356, Train accuracy=0.4446]
Training:  62% 796/1293 [02:44<01:46,  4.65batch/s, Train loss=1.1356, Train accuracy=0.4446]
Training:  62% 796/1293 [02:44<01:46,  4.65batch/s, Train loss=1.1356, Train accuracy=0.4447]
Training:  62% 797/1293 [02:44<01:45,  4.69batch/s, Train loss=1.1356, Train accuracy=0.4447]
Training:  62% 797/1293 [02:44<01:45,  4.69batch/s, Train loss=1.1357, Train accuracy=0.4446]
Training:  62% 798/1293 [02:44<01:44,  4.72batch/s, Train loss=1.1357, Train accuracy=0.4446]
Training:  62% 798/1293 [02:44<01:44,  4.72batch/s, Train loss=1.1356, Train accuracy=0.4446]
Training:  62% 799/1293 [02:44<01:44,  4.74batch/s, Train loss=1.1356, Train accuracy=0.4446]
Training:  62% 799/1293 [02:45<01:44,  4.74batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  62% 800/1293 [02:45<01:43,  4.76batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  62% 800/1293 [02:45<01:43,  4.76batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  62% 801/1293 [02:45<01:44,  4.72batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  62% 801/1293 [02:45<01:44,  4.72batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  62% 802/1293 [02:45<01:43,  4.75batch/s, Train loss=1.1355, Train accuracy=0.4447]
Training:  62% 802/1293 [02:45<01:43,  4.75batch/s, Train loss=1.1355, Train accuracy=0.4446]
Training:  62% 803/1293 [02:45<01:44,  4.69batch/s, Train loss=1.1355, Train accuracy=0.4446]
Training:  62% 803/1293 [02:46<01:44,  4.69batch/s, Train loss=1.1355, Train accuracy=0.4446]
Training:  62% 804/1293 [02:46<01:44,  4.70batch/s, Train loss=1.1355, Train accuracy=0.4446]
Training:  62% 804/1293 [02:46<01:44,  4.70batch/s, Train loss=1.1354, Train accuracy=0.4447]
Training:  62% 805/1293 [02:46<01:44,  4.67batch/s, Train loss=1.1354, Train accuracy=0.4447]
Training:  62% 805/1293 [02:46<01:44,  4.67batch/s, Train loss=1.1354, Train accuracy=0.4448]
Training:  62% 806/1293 [02:46<01:47,  4.53batch/s, Train loss=1.1354, Train accuracy=0.4448]
Training:  62% 806/1293 [02:46<01:47,  4.53batch/s, Train loss=1.1353, Train accuracy=0.4447]
Training:  62% 807/1293 [02:46<01:44,  4.64batch/s, Train loss=1.1353, Train accuracy=0.4447]
Training:  62% 807/1293 [02:46<01:44,  4.64batch/s, Train loss=1.1350, Train accuracy=0.4448]
Training:  62% 808/1293 [02:46<01:42,  4.73batch/s, Train loss=1.1350, Train accuracy=0.4448]
Training:  62% 808/1293 [02:47<01:42,  4.73batch/s, Train loss=1.1349, Train accuracy=0.4448]
Training:  63% 809/1293 [02:47<01:40,  4.80batch/s, Train loss=1.1349, Train accuracy=0.4448]
Training:  63% 809/1293 [02:47<01:40,  4.80batch/s, Train loss=1.1348, Train accuracy=0.4449]
Training:  63% 810/1293 [02:47<01:40,  4.82batch/s, Train loss=1.1348, Train accuracy=0.4449]
Training:  63% 810/1293 [02:47<01:40,  4.82batch/s, Train loss=1.1348, Train accuracy=0.4448]
Training:  63% 811/1293 [02:47<01:41,  4.75batch/s, Train loss=1.1348, Train accuracy=0.4448]
Training:  63% 811/1293 [02:47<01:41,  4.75batch/s, Train loss=1.1347, Train accuracy=0.4449]
Training:  63% 812/1293 [02:47<01:40,  4.78batch/s, Train loss=1.1347, Train accuracy=0.4449]
Training:  63% 812/1293 [02:47<01:40,  4.78batch/s, Train loss=1.1346, Train accuracy=0.4449]
Training:  63% 813/1293 [02:47<01:38,  4.85batch/s, Train loss=1.1346, Train accuracy=0.4449]
Training:  63% 813/1293 [02:48<01:38,  4.85batch/s, Train loss=1.1345, Train accuracy=0.4450]
Training:  63% 814/1293 [02:48<01:39,  4.82batch/s, Train loss=1.1345, Train accuracy=0.4450]
Training:  63% 814/1293 [02:48<01:39,  4.82batch/s, Train loss=1.1344, Train accuracy=0.4450]
Training:  63% 815/1293 [02:48<01:38,  4.87batch/s, Train loss=1.1344, Train accuracy=0.4450]
Training:  63% 815/1293 [02:48<01:38,  4.87batch/s, Train loss=1.1343, Train accuracy=0.4449]
Training:  63% 816/1293 [02:48<01:39,  4.79batch/s, Train loss=1.1343, Train accuracy=0.4449]
Training:  63% 816/1293 [02:48<01:39,  4.79batch/s, Train loss=1.1344, Train accuracy=0.4448]
Training:  63% 817/1293 [02:48<01:38,  4.85batch/s, Train loss=1.1344, Train accuracy=0.4448]
Training:  63% 817/1293 [02:48<01:38,  4.85batch/s, Train loss=1.1343, Train accuracy=0.4449]
Training:  63% 818/1293 [02:48<01:36,  4.91batch/s, Train loss=1.1343, Train accuracy=0.4449]
Training:  63% 818/1293 [02:49<01:36,  4.91batch/s, Train loss=1.1342, Train accuracy=0.4449]
Training:  63% 819/1293 [02:49<01:36,  4.93batch/s, Train loss=1.1342, Train accuracy=0.4449]
Training:  63% 819/1293 [02:49<01:36,  4.93batch/s, Train loss=1.1341, Train accuracy=0.4449]
Training:  63% 820/1293 [02:49<01:35,  4.93batch/s, Train loss=1.1341, Train accuracy=0.4449]
Training:  63% 820/1293 [02:49<01:35,  4.93batch/s, Train loss=1.1343, Train accuracy=0.4449]
Training:  63% 821/1293 [02:49<01:36,  4.90batch/s, Train loss=1.1343, Train accuracy=0.4449]
Training:  63% 821/1293 [02:49<01:36,  4.90batch/s, Train loss=1.1342, Train accuracy=0.4449]
Training:  64% 822/1293 [02:49<01:35,  4.94batch/s, Train loss=1.1342, Train accuracy=0.4449]
Training:  64% 822/1293 [02:49<01:35,  4.94batch/s, Train loss=1.1342, Train accuracy=0.4448]
Training:  64% 823/1293 [02:49<01:34,  4.97batch/s, Train loss=1.1342, Train accuracy=0.4448]
Training:  64% 823/1293 [02:50<01:34,  4.97batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 824/1293 [02:50<01:34,  4.96batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 824/1293 [02:50<01:34,  4.96batch/s, Train loss=1.1339, Train accuracy=0.4449]
Training:  64% 825/1293 [02:50<01:34,  4.96batch/s, Train loss=1.1339, Train accuracy=0.4449]
Training:  64% 825/1293 [02:50<01:34,  4.96batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 826/1293 [02:50<01:34,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 826/1293 [02:50<01:34,  4.95batch/s, Train loss=1.1339, Train accuracy=0.4449]
Training:  64% 827/1293 [02:50<01:34,  4.95batch/s, Train loss=1.1339, Train accuracy=0.4449]
Training:  64% 827/1293 [02:50<01:34,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 828/1293 [02:50<01:34,  4.94batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 828/1293 [02:51<01:34,  4.94batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 829/1293 [02:51<01:33,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 829/1293 [02:51<01:33,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4448]
Training:  64% 830/1293 [02:51<01:33,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4448]
Training:  64% 830/1293 [02:51<01:33,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 831/1293 [02:51<01:33,  4.94batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 831/1293 [02:51<01:33,  4.94batch/s, Train loss=1.1341, Train accuracy=0.4449]
Training:  64% 832/1293 [02:51<01:33,  4.95batch/s, Train loss=1.1341, Train accuracy=0.4449]
Training:  64% 832/1293 [02:51<01:33,  4.95batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 833/1293 [02:51<01:32,  4.96batch/s, Train loss=1.1340, Train accuracy=0.4449]
Training:  64% 833/1293 [02:52<01:32,  4.96batch/s, Train loss=1.1341, Train accuracy=0.4449]
Training:  65% 834/1293 [02:52<01:33,  4.92batch/s, Train loss=1.1341, Train accuracy=0.4449]
Training:  65% 834/1293 [02:52<01:33,  4.92batch/s, Train loss=1.1340, Train accuracy=0.4450]
Training:  65% 835/1293 [02:52<01:32,  4.94batch/s, Train loss=1.1340, Train accuracy=0.4450]
Training:  65% 835/1293 [02:52<01:32,  4.94batch/s, Train loss=1.1339, Train accuracy=0.4451]
Training:  65% 836/1293 [02:52<01:32,  4.95batch/s, Train loss=1.1339, Train accuracy=0.4451]
Training:  65% 836/1293 [02:52<01:32,  4.95batch/s, Train loss=1.1337, Train accuracy=0.4452]
Training:  65% 837/1293 [02:52<01:32,  4.94batch/s, Train loss=1.1337, Train accuracy=0.4452]
Training:  65% 837/1293 [02:52<01:32,  4.94batch/s, Train loss=1.1335, Train accuracy=0.4452]
Training:  65% 838/1293 [02:52<01:32,  4.93batch/s, Train loss=1.1335, Train accuracy=0.4452]
Training:  65% 838/1293 [02:53<01:32,  4.93batch/s, Train loss=1.1335, Train accuracy=0.4452]
Training:  65% 839/1293 [02:53<01:32,  4.93batch/s, Train loss=1.1335, Train accuracy=0.4452]
Training:  65% 839/1293 [02:53<01:32,  4.93batch/s, Train loss=1.1333, Train accuracy=0.4452]
Training:  65% 840/1293 [02:53<01:32,  4.92batch/s, Train loss=1.1333, Train accuracy=0.4452]
Training:  65% 840/1293 [02:53<01:32,  4.92batch/s, Train loss=1.1334, Train accuracy=0.4452]
Training:  65% 841/1293 [02:53<01:31,  4.93batch/s, Train loss=1.1334, Train accuracy=0.4452]
Training:  65% 841/1293 [02:53<01:31,  4.93batch/s, Train loss=1.1332, Train accuracy=0.4451]
Training:  65% 842/1293 [02:53<01:31,  4.92batch/s, Train loss=1.1332, Train accuracy=0.4451]
Training:  65% 842/1293 [02:53<01:31,  4.92batch/s, Train loss=1.1333, Train accuracy=0.4451]
Training:  65% 843/1293 [02:53<01:31,  4.93batch/s, Train loss=1.1333, Train accuracy=0.4451]
Training:  65% 843/1293 [02:54<01:31,  4.93batch/s, Train loss=1.1331, Train accuracy=0.4451]
Training:  65% 844/1293 [02:54<01:31,  4.91batch/s, Train loss=1.1331, Train accuracy=0.4451]
Training:  65% 844/1293 [02:54<01:31,  4.91batch/s, Train loss=1.1331, Train accuracy=0.4452]
Training:  65% 845/1293 [02:54<01:30,  4.93batch/s, Train loss=1.1331, Train accuracy=0.4452]
Training:  65% 845/1293 [02:54<01:30,  4.93batch/s, Train loss=1.1330, Train accuracy=0.4453]
Training:  65% 846/1293 [02:54<01:30,  4.93batch/s, Train loss=1.1330, Train accuracy=0.4453]
Training:  65% 846/1293 [02:54<01:30,  4.93batch/s, Train loss=1.1329, Train accuracy=0.4454]
Training:  66% 847/1293 [02:54<01:30,  4.94batch/s, Train loss=1.1329, Train accuracy=0.4454]
Training:  66% 847/1293 [02:55<01:30,  4.94batch/s, Train loss=1.1329, Train accuracy=0.4454]
Training:  66% 848/1293 [02:55<01:30,  4.94batch/s, Train loss=1.1329, Train accuracy=0.4454]
Training:  66% 848/1293 [02:55<01:30,  4.94batch/s, Train loss=1.1330, Train accuracy=0.4454]
Training:  66% 849/1293 [02:55<01:29,  4.94batch/s, Train loss=1.1330, Train accuracy=0.4454]
Training:  66% 849/1293 [02:55<01:29,  4.94batch/s, Train loss=1.1328, Train accuracy=0.4454]
Training:  66% 850/1293 [02:55<01:30,  4.92batch/s, Train loss=1.1328, Train accuracy=0.4454]
Training:  66% 850/1293 [02:55<01:30,  4.92batch/s, Train loss=1.1328, Train accuracy=0.4453]
Training:  66% 851/1293 [02:55<01:29,  4.92batch/s, Train loss=1.1328, Train accuracy=0.4453]
Training:  66% 851/1293 [02:55<01:29,  4.92batch/s, Train loss=1.1326, Train accuracy=0.4453]
Training:  66% 852/1293 [02:55<01:29,  4.94batch/s, Train loss=1.1326, Train accuracy=0.4453]
Training:  66% 852/1293 [02:56<01:29,  4.94batch/s, Train loss=1.1325, Train accuracy=0.4454]
Training:  66% 853/1293 [02:56<01:29,  4.93batch/s, Train loss=1.1325, Train accuracy=0.4454]
Training:  66% 853/1293 [02:56<01:29,  4.93batch/s, Train loss=1.1325, Train accuracy=0.4453]
